
########################################################################################
# ebrains: 4 jobs
########################################################################################
[1/4] ebrains__104638-Wheel-HeadFixed__Wheel-HeadFixed     overlap  7/13  p=0.0000 SEQ | INDEP  3/5  p=0.0012 SEQ [28s]
[84/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY03-g1-behavi error ValueError: min() iterable argument is e [0s]
[85/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY05-g1-behavi error ValueError: min() iterable argument is e [3s]
[86/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY05-g1-behavi error ValueError: min() iterable argument is e [1s]
[87/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY06-g1-behavi error ValueError: min() iterable argument is e [3s]
[88/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY06-g1-behavi error ValueError: min() iterable argument is e [1s]
[89/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY07-g1-behavi error ValueError: min() iterable argument is e [2s]
[90/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY07-g1-behavi error ValueError: min() iterable argument is e [1s]
[91/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY08-g1-behavi error ValueError: min() iterable argument is e [3s]
[92/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY08-g1-behavi error ValueError: min() iterable argument is e [1s]
[93/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY09-g1-behavi error ValueError: min() iterable argument is e [2s]
[94/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY09-g1-behavi error ValueError: min() iterable argument is e [0s]
[95/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY10-g1-behavi error ValueError: min() iterable argument is e [2s]
[96/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY10-g1-behavi error ValueError: min() iterable argument is e [0s]
[97/436] 001701__sub-Curie-sub-Curie-ses-Curie-DY11-g1-behavi error ValueError: min() iterable argument is e [2s]
